GPSWeek [weeks];GPSSecondsOfWeek [s];Longitude (GT Lon) [deg];Longitude Cov (GT Lon) [deg];Latitude (GT Lat) [deg];Latitude Cov (GT Lat) [deg];Height above ellipsoid (GT Height) [m];Height above ellipsoid Cov (GT Height) [m];Heading (0° = East, counterclockwise) - (GT Heading) [rad];Heading Cov (0° = East, counterclockwise) - (GT Heading) [rad];Acceleration (GT Acceleration) [ms^2];Acceleration Cov (GT Acceleration) [ms^2];Velocity (GT Velocity) [m/s];Velocity Cov (GT Velocity) [m/s];Yaw-Rate (GT Yaw-rate) [rad/s];Yaw-Rate Cov (GT Yaw-rate) [rad/s];Measurement time of week (rcvTow) [s];GPS week number (week) [weeks];GPS leap seconds (leapS) [s];Number of measurements to follow (numMeas) [];Receiver tracking status (recStat) [];Pseudorange measurement (prMes) [m];Carrier phase measurement (cpMes) [cycles];Doppler measurement (doMes) [Hz];GNSS identifier (gnssId) [];Satellite identifier (svId) [];Frequency slot - only Glonass (freqId) [];Carrier phase locktime counter (locktime) [ms];Carrier-to-noise density ratio (cno) [dbHz];Estimated pseudorange measurement standard deviation (prStdev) [m];Estimated carrier phase measurement standard deviation (cpStdev) [cycles];Estimated Doppler measurement standard deviation (doStdev) [Hz];Tracking status (trkStat) [];NLOS (0 == no, 1 == yes, # == No Information)
1900;126641.49999997084;13.3736577411555;7.76122581087713E-06;52.504560220676;6.07869197881139E-05;76.0045786043629;6.29563927005569E-06;1.24862086922803;1.26814020681675E-07;0.926577670979896;0.033529381550356;5.70623813848943;0.000242438557331735;0.00115909662977742;4.83289530290242E-06;126641.499999971;1900;17;19;1;19834597.8712713;104231506.046821;222.1658;GPS;12;0;64500;50;0.32;0.004;0.128;15;0
1900;126641.49999997084;13.3736577411555;7.76122581087713E-06;52.504560220676;6.07869197881139E-05;76.0045786043629;6.29563927005569E-06;1.24862086922803;1.26814020681675E-07;0.926577670979896;0.033529381550356;5.70623813848943;0.000242438557331735;0.00115909662977742;4.83289530290242E-06;126641.499999971;1900;17;19;1;19784715.1994221;105797774.172103;2219.386;Glonass;20;9;20400;39;2.56;0.012;1.024;7;0
1900;126641.49999997084;13.3736577411555;7.76122581087713E-06;52.504560220676;6.07869197881139E-05;76.0045786043629;6.29563927005569E-06;1.24862086922803;1.26814020681675E-07;0.926577670979896;0.033529381550356;5.70623813848943;0.000242438557331735;0.00115909662977742;4.83289530290242E-06;126641.499999971;1900;17;19;1;22692935.9330983;121093854.342382;1271.161;Glonass;2;3;0;28;20.48;0.06;8.192;1;1
1900;126641.49999997084;13.3736577411555;7.76122581087713E-06;52.504560220676;6.07869197881139E-05;76.0045786043629;6.29563927005569E-06;1.24862086922803;1.26814020681675E-07;0.926577670979896;0.033529381550356;5.70623813848943;0.000242438557331735;0.00115909662977742;4.83289530290242E-06;126641.499999971;1900;17;19;1;22635781.9852949;118951853.716568;-2783.829;GPS;19;0;2980;43;2.56;0.012;0.512;3;0
1900;126641.49999997084;13.3736577411555;7.76122581087713E-06;52.504560220676;6.07869197881139E-05;76.0045786043629;6.29563927005569E-06;1.24862086922803;1.26814020681675E-07;0.926577670979896;0.033529381550356;5.70623813848943;0.000242438557331735;0.00115909662977742;4.83289530290242E-06;126641.499999971;1900;17;19;1;22234047.0904046;116840705.198759;624.6011;GPS;32;0;0;21;20.48;0.06;8.192;1;1
1900;126641.49999997084;13.3736577411555;7.76122581087713E-06;52.504560220676;6.07869197881139E-05;76.0045786043629;6.29563927005569E-06;1.24862086922803;1.26814020681675E-07;0.926577670979896;0.033529381550356;5.70623813848943;0.000242438557331735;0.00115909662977742;4.83289530290242E-06;126641.499999971;1900;17;19;1;22680784.059995;121241810.309364;-2367.432;Glonass;1;8;0;31;20.48;0.06;8.192;1;1
1900;126641.49999997084;13.3736577411555;7.76122581087713E-06;52.504560220676;6.07869197881139E-05;76.0045786043629;6.29563927005569E-06;1.24862086922803;1.26814020681675E-07;0.926577670979896;0.033529381550356;5.70623813848943;0.000242438557331735;0.00115909662977742;4.83289530290242E-06;126641.499999971;1900;17;19;1;19093262.6050031;101777887.318222;102.2625;Glonass;10;0;64500;45;0.64;0.004;0.256;15;0
1900;126641.49999997084;13.3736577411555;7.76122581087713E-06;52.504560220676;6.07869197881139E-05;76.0045786043629;6.29563927005569E-06;1.24862086922803;1.26814020681675E-07;0.926577670979896;0.033529381550356;5.70623813848943;0.000242438557331735;0.00115909662977742;4.83289530290242E-06;126641.499999971;1900;17;19;1;22683870.7378598;121386017.064259;4785.986;Glonass;21;11;0;34;20.48;0.06;8.192;1;0
1900;126641.49999997084;13.3736577411555;7.76122581087713E-06;52.504560220676;6.07869197881139E-05;76.0045786043629;6.29563927005569E-06;1.24862086922803;1.26814020681675E-07;0.926577670979896;0.033529381550356;5.70623813848943;0.000242438557331735;0.00115909662977742;4.83289530290242E-06;126641.499999971;1900;17;19;1;20789428.6771235;111209471.12207;-2228.113;Glonass;19;10;400;50;1.28;0.008;0.512;3;1
1900;126641.49999997084;13.3736577411555;7.76122581087713E-06;52.504560220676;6.07869197881139E-05;76.0045786043629;6.29563927005569E-06;1.24862086922803;1.26814020681675E-07;0.926577670979896;0.033529381550356;5.70623813848943;0.000242438557331735;0.00115909662977742;4.83289530290242E-06;126641.499999971;1900;17;19;1;22649088.221302;119021761.615925;1602.471;GPS;14;0;0;23;40.96;0.06;16.384;1;1
